primaryTitle,Release Date,startYear,month,season,runtimeMinutes,genres,MPAA Rating,is_original,is_franchise,averageRating,numVotes,performance
The Hunger Games: The Ballad of Songbirds & Snakes,11/15/2023,2023,11,Fall/Autumn,157,"Action,Adventure,Drama",PG-13,0,1,6.6,179569,cinema-hit
Next Goal Wins,11/16/2023,2023,11,Fall/Autumn,104,"Comedy,Drama,Sport",PG-13,0,0,6.5,30914,cinema-flop
Occupied City,11/30/2023,2023,11,Fall/Autumn,266,"Documentary,History,War",PG-13,0,0,6.6,1042,cinema-flop
Aquaman and the Lost Kingdom,12/20/2023,2023,12,Winter,124,"Action,Adventure,Fantasy",PG-13,0,1,5.6,116349,cinema-flop
Mean Girls,1/10/2024,2024,1,Winter,112,"Comedy,Musical",PG-13,0,0,5.5,40654,cinema-hit
Argylle,1/31/2024,2024,1,Winter,139,"Action,Comedy,Thriller",PG-13,1,0,5.6,98987,cinema-flop
Madame Web,2/14/2024,2024,2,Winter,116,"Action,Thriller",PG-13,0,1,4.1,113277,cinema-flop
Dune: Part Two,2/28/2024,2024,2,Winter,166,"Action,Adventure,Drama",PG-13,0,1,8.4,719990,cinema-hit
The Fall Guy,3/1/2024,2024,3,Spring,126,"Action,Comedy,Drama",PG-13,0,0,6.8,253149,cinema-flop
Imaginary,3/6/2024,2024,3,Spring,104,"Horror,Mystery,Thriller",PG-13,1,0,4.8,19398,cinema-hit
Cabrini,3/7/2024,2024,3,Spring,142,"Biography,Drama,History",PG-13,0,0,7.3,9874,cinema-flop
Arthur the King,3/15/2024,2024,3,Spring,107,"Adventure,Drama,Sport",PG-13,0,0,7,38295,cinema-flop
Ghostbusters: Frozen Empire,3/20/2024,2024,3,Spring,115,"Adventure,Comedy,Fantasy",PG-13,1,1,6.1,104366,cinema-flop
Godzilla x Kong: The New Empire,3/27/2024,2024,3,Spring,115,"Action,Adventure,Fantasy",PG-13,1,1,6,132984,cinema-hit
Tarot,5/1/2024,2024,5,Spring,92,Horror,PG-13,0,0,4.8,38066,cinema-hit
Kingdom of the Planet of the Apes,5/8/2024,2024,5,Spring,145,"Action,Adventure,Drama",PG-13,1,1,6.8,166783,cinema-flop
The Watchers,6/5/2024,2024,6,Summer,102,"Fantasy,Horror,Mystery",PG-13,0,0,5.7,68116,cinema-flop
A Quiet Place: Day One,6/26/2024,2024,6,Summer,99,"Drama,Horror,Sci-Fi",PG-13,0,1,6.3,172364,cinema-hit
Sound of Hope: The Story of Possum Trot,7/4/2024,2024,7,Summer,130,Drama,PG-13,0,0,7.1,2517,cinema-flop
Fly Me to the Moon,7/5/2024,2024,7,Summer,132,"Comedy,Romance",PG-13,1,0,6.6,57637,cinema-flop
Twisters,7/11/2024,2024,7,Summer,122,"Action,Adventure,Thriller",PG-13,1,1,6.5,192302,cinema-flop
Afraid,8/28/2024,2024,8,Summer,84,"Horror,Mystery,Sci-Fi",PG-13,1,0,5.2,16818,cinema-flop
Reagan,8/30/2024,2024,8,Summer,141,"Biography,Drama,History",PG-13,0,0,6.2,12712,cinema-flop
Beetlejuice Beetlejuice,9/4/2024,2024,9,Fall/Autumn,105,"Comedy,Fantasy,Horror",PG-13,1,1,6.6,171511,cinema-hit
Am I Racist?,9/13/2024,2024,9,Fall/Autumn,100,"Comedy,Documentary",PG-13,0,0,6.6,17709,cinema-hit
Venom: The Last Dance,10/23/2024,2024,10,Fall/Autumn,110,"Action,Fantasy,Horror",PG-13,0,1,6,151589,cinema-hit
Here,10/31/2024,2024,10,Fall/Autumn,104,Drama,PG-13,0,0,6.3,27459,cinema-flop
Red One,11/6/2024,2024,11,Fall/Autumn,123,"Action,Adventure,Comedy",PG-13,1,0,6.2,158204,cinema-flop
The Lord of the Rings: The War of the Rohirrim,12/5/2024,2024,12,Winter,134,"Action,Adventure,Animation",PG-13,0,1,6.3,39165,cinema-flop
Like a Boss,1/10/2020,2020,1,Winter,83,Comedy,R,1,0,4.7,16156,cinema-flop
The Assistant,1/31/2020,2020,1,Winter,84,Thriller,R,1,0,4.7,35,cinema-flop
The Rhythm Section,1/31/2020,2020,1,Winter,109,"Action,Drama,Mystery",R,0,0,5.4,21253,cinema-flop
The Invisible Man,2/26/2020,2020,2,Winter,124,"Drama,Horror,Mystery",R,0,0,7.1,281566,cinema-hit
The Way Back,3/5/2020,2020,3,Spring,108,"Drama,Sport",R,1,0,6.7,56385,cinema-flop
The Hunt,3/12/2020,2020,3,Spring,90,"Action,Horror,Thriller",R,0,0,6.6,151666,cinema-flop
Firestarter,5/19/2020,2020,5,Spring,96,Documentary,R,0,0,8.2,123,cinema-flop
Palm Springs,7/10/2020,2020,7,Summer,90,"Comedy,Fantasy,Mystery",R,1,0,7.4,211789,cinema-flop
Unhinged,7/16/2020,2020,7,Summer,90,"Action,Thriller",R,1,0,6,86199,cinema-flop
Cut Throat City,7/31/2020,2020,7,Summer,123,"Action,Crime,Drama",R,1,0,4.9,3388,cinema-flop
The Killing of Two Lovers,9/8/2020,2020,9,Fall/Autumn,85,Drama,R,1,0,6.8,5887,cinema-hit
The Trial of the Chicago 7,10/2/2020,2020,10,Fall/Autumn,129,"Drama,History,Thriller",R,0,0,7.7,204413,cinema-flop
Hillbilly Elegy,11/11/2020,2020,11,Fall/Autumn,116,"Biography,Drama",R,0,0,6.7,60682,cinema-flop
Freaky,11/12/2020,2020,11,Fall/Autumn,102,"Comedy,Horror,Thriller",R,1,0,6.3,80996,cinema-hit
Echo Boomers,11/13/2020,2020,11,Fall/Autumn,94,"Action,Crime,Drama",R,0,0,5.3,8996,cinema-flop
The Little Things,1/28/2021,2021,1,Winter,128,"Crime,Drama,Mystery",R,1,0,6.3,140107,cinema-flop
Judas and the Black Messiah,2/12/2021,2021,2,Winter,126,"Biography,Crime,Drama",R,0,0,7.4,114007,cinema-flop
The Conjuring: The Devil Made Me Do It,3/7/2021,2021,3,Spring,112,"Horror,Mystery,Thriller",R,1,1,6.2,167379,cinema-hit
Nobody,3/19/2021,2021,3,Spring,92,"Action,Crime,Drama",R,1,1,7.4,387360,cinema-hit
Mortal Kombat,4/8/2021,2021,4,Spring,110,"Action,Adventure,Fantasy",R,0,1,6.1,203402,cinema-flop
Wrath of Man,4/22/2021,2021,4,Spring,119,"Action,Crime,Thriller",R,0,0,7.1,236258,cinema-hit
Spiral,5/12/2021,2021,5,Spring,93,"Horror,Mystery,Thriller",R,1,1,5.2,76424,cinema-flop
Spiral,5/12/2021,2021,5,Spring,92,Drama,R,1,1,7,59,cinema-flop
Lansky,6/22/2021,2021,6,Summer,119,"Biography,Crime,Drama",R,0,0,6.2,11209,cinema-flop
The Forever Purge,7/1/2021,2021,7,Summer,103,"Action,Crime,Drama",R,1,1,5.4,48352,cinema-hit
Annette,7/7/2021,2021,7,Summer,141,"Drama,Musical,Romance",R,1,0,6.3,24232,cinema-flop
Midnight in the Switchgrass,7/23/2021,2021,7,Summer,99,"Crime,Mystery,Thriller",R,0,0,4.6,12747,cinema-flop
The Suicide Squad,7/28/2021,2021,7,Summer,132,"Action,Adventure,Comedy",R,0,1,7.2,454863,cinema-flop
The Green Knight,7/30/2021,2021,7,Summer,130,"Adventure,Drama,Fantasy",R,0,0,6.6,130351,cinema-flop
Malignant,9/2/2021,2021,9,Fall/Autumn,111,"Crime,Horror,Mystery",R,1,0,6.2,120701,cinema-flop
The Many Saints of Newark,9/24/2021,2021,9,Fall/Autumn,120,"Crime,Drama",R,0,0,6.3,68239,cinema-flop
The Last Duel,10/13/2021,2021,10,Fall/Autumn,152,"Drama,History,Thriller",R,0,0,7.3,204666,cinema-flop
Halloween Kills,10/14/2021,2021,10,Fall/Autumn,105,"Action,Drama,Horror",R,1,1,5.5,107638,cinema-hit
Last Night in Soho,10/27/2021,2021,10,Fall/Autumn,116,"Drama,Horror,Mystery",R,1,0,7,198460,cinema-flop
A Mouthful of Air,10/29/2021,2021,10,Fall/Autumn,105,Drama,R,0,0,6.1,3398,cinema-flop
The Power of the Dog,11/17/2021,2021,11,Fall/Autumn,126,"Drama,Western",R,0,0,6.8,221465,cinema-flop
Resident Evil: Welcome to Raccoon City,11/24/2021,2021,11,Fall/Autumn,107,"Action,Horror,Sci-Fi",R,0,1,5.2,71020,cinema-flop
House of Gucci,11/24/2021,2021,11,Fall/Autumn,158,"Biography,Crime,Drama",R,0,0,6.6,173902,cinema-flop
Licorice Pizza,11/26/2021,2021,11,Fall/Autumn,133,"Comedy,Drama,Romance",R,1,0,7.1,158795,cinema-flop
National Champions,12/10/2021,2021,12,Winter,116,"Drama,Sport",R,0,0,5.7,2104,cinema-flop
The Matrix Resurrections,12/16/2021,2021,12,Winter,148,"Action,Sci-Fi",R,1,1,5.6,301321,cinema-flop
Nightmare Alley,12/17/2021,2021,12,Winter,150,"Crime,Drama,Thriller",R,0,0,7,181513,cinema-flop
Scream,1/12/2022,2022,1,Winter,114,"Horror,Mystery,Thriller",R,1,1,6.3,184600,cinema-hit
A Day to Die,3/4/2022,2022,3,Spring,105,"Action,Crime,Drama",R,1,0,3.5,5480,cinema-flop
Ambulance,3/16/2022,2022,3,Spring,136,"Action,Crime,Drama",R,0,0,6.1,112227,cinema-flop
X,3/17/2022,2022,3,Spring,105,"Horror,Mystery,Thriller",R,1,1,6.5,221962,cinema-hit
The Outfit,3/18/2022,2022,3,Spring,105,"Crime,Drama,Mystery",R,1,0,7.2,85586,cinema-flop
The Unbearable Weight of Massive Talent,4/1/2022,2022,4,Spring,107,"Action,Comedy,Crime",R,1,0,7,177641,cinema-flop
Father Stu,4/13/2022,2022,4,Spring,124,"Biography,Drama,Sport",R,0,0,6.5,35776,cinema-hit
"Good Luck to You, Leo Grande",6/17/2022,2022,6,Summer,97,"Comedy,Drama",R,1,0,7.2,43928,cinema-hit
Bullet Train,7/14/2022,2022,7,Summer,127,"Action,Comedy,Thriller",R,0,0,7.3,527597,cinema-hit
