primaryTitle,Release Date,startYear,month,season,runtimeMinutes,genres,MPAA Rating,is_original,is_franchise,averageRating,numVotes,performance
Summerland,6/24/2020,2020,6,Summer,99,"Drama,Romance,War",PG,1,0,7,10626,cinema-flop
The Secret: Dare to Dream,7/30/2020,2020,7,Summer,107,"Drama,Romance",PG,0,0,6.6,19723,cinema-flop
The SpongeBob Movie: Sponge on the Run,7/31/2020,2020,7,Summer,91,"Adventure,Animation,Comedy",PG,0,1,5.9,25403,cinema-flop
The War with Grandpa,8/28/2020,2020,8,Summer,94,"Comedy,Drama,Family",PG,0,0,5.7,27816,cinema-flop
Wolfwalkers,10/30/2020,2020,10,Fall/Autumn,103,"Action,Adventure,Animation",PG,0,0,8,44427,cinema-flop
The Croods: A New Age,11/25/2020,2020,11,Fall/Autumn,95,"Adventure,Animation,Comedy",PG,1,1,6.9,60639,cinema-hit
Lena and Snowball,1/12/2021,2021,1,Winter,90,"Adventure,Comedy,Family",PG,1,0,5.4,403,cinema-flop
Tom and Jerry,2/12/2021,2021,2,Winter,101,Romance,PG,0,1,5.3,43075,cinema-hit
Spirit Untamed,3/7/2021,2021,3,Spring,88,"Adventure,Animation,Comedy",PG,0,1,5.5,5394,cinema-flop
Peter Rabbit 2: The Runaway,3/26/2021,2021,3,Spring,93,"Adventure,Animation,Comedy",PG,0,1,6.2,16764,cinema-hit
The Boss Baby: Family Business,7/1/2021,2021,7,Summer,107,"Adventure,Animation,Comedy",PG,0,1,5.9,26121,cinema-flop
Space Jam: A New Legacy,7/14/2021,2021,7,Summer,115,"Adventure,Animation,Comedy",PG,1,1,4.5,86318,cinema-flop
Clifford the Big Red Dog,11/10/2021,2021,11,Fall/Autumn,96,"Adventure,Comedy,Family",PG,0,0,5.9,18721,cinema-flop
Encanto,11/24/2021,2021,11,Fall/Autumn,102,"Animation,Comedy,Family",PG,1,0,7.2,294328,cinema-flop
Sing 2,12/1/2021,2021,12,Winter,110,"Adventure,Animation,Comedy",PG,1,1,7.3,100104,cinema-hit
Turning Red,3/10/2022,2022,3,Spring,100,"Adventure,Animation,Comedy",PG,1,0,6.9,172050,cinema-flop
The Bad Guys,3/17/2022,2022,3,Spring,100,"Adventure,Animation,Comedy",PG,0,1,6.9,78492,cinema-hit
Sonic the Hedgehog 2,3/30/2022,2022,3,Spring,122,"Action,Adventure,Comedy",PG,0,1,6.5,114591,cinema-hit
Lightyear,6/15/2022,2022,6,Summer,105,"Action,Adventure,Animation",PG,0,1,6.1,135119,cinema-flop
Minions: The Rise of Gru,6/16/2022,2022,6,Summer,87,"Adventure,Animation,Comedy",PG,0,1,6.5,104124,cinema-hit
Paws of Fury: The Legend of Hank,7/15/2022,2022,7,Summer,98,"Action,Adventure,Animation",PG,0,0,5.8,7481,cinema-flop
Mrs. Harris Goes to Paris,7/15/2022,2022,7,Summer,115,"Comedy,Drama",PG,0,0,7.1,36566,cinema-flop
"Lyle, Lyle, Crocodile",10/6/2022,2022,10,Fall/Autumn,106,"Adventure,Comedy,Family",PG,0,0,6.1,17928,cinema-flop
Strange World,11/22/2022,2022,11,Fall/Autumn,102,"Action,Adventure,Animation",PG,1,0,5.7,50295,cinema-flop
I Heard the Bells,12/1/2022,2022,12,Winter,110,"Biography,Drama,Family",PG,0,0,6.6,1363,cinema-flop
Puss in Boots: The Last Wish,12/2/2022,2022,12,Winter,102,"Action,Adventure,Animation",PG,0,1,7.8,221583,cinema-hit
The Super Mario Bros. Movie,4/4/2023,2023,4,Spring,92,"Adventure,Animation,Comedy",PG,0,1,7,284398,cinema-hit
The Little Mermaid,5/24/2023,2023,5,Spring,135,"Adventure,Family,Fantasy",PG,0,1,7.2,177582,cinema-flop
The Little Mermaid,5/24/2023,2023,5,Spring,98,"Animation,Comedy,Drama",PG,0,1,3.4,222,cinema-flop
Spider-Man: Across the Spider-Verse,5/31/2023,2023,5,Spring,140,"Action,Adventure,Animation",PG,0,1,8.5,511698,cinema-hit
Elemental,6/14/2023,2023,6,Summer,101,"Adventure,Animation,Comedy",PG,1,0,7,161948,cinema-flop
Teenage Mutant Ninja Turtles: Mutant Mayhem,8/2/2023,2023,8,Summer,99,"Action,Adventure,Animation",PG,0,1,7.2,77420,cinema-hit
PAW Patrol: The Mighty Movie,9/21/2023,2023,9,Fall/Autumn,88,"Action,Adventure,Animation",PG,0,1,5.9,6458,cinema-hit
Trolls Band Together,10/12/2023,2023,10,Fall/Autumn,91,"Adventure,Animation,Comedy",PG,0,1,6,19725,cinema-flop
Journey to Bethlehem,11/10/2023,2023,11,Fall/Autumn,99,"Adventure,Family,Musical",PG,0,0,6.5,3862,cinema-flop
Wish,11/22/2023,2023,11,Fall/Autumn,95,"Adventure,Animation,Comedy",PG,1,0,5.5,49797,cinema-flop
Migration,12/6/2023,2023,12,Winter,83,"Adventure,Animation,Comedy",PG,1,0,6.6,46018,cinema-hit
Wonka,12/6/2023,2023,12,Winter,116,"Adventure,Comedy,Family",PG,0,1,6.9,191182,cinema-hit
Kung Fu Panda 4,3/6/2024,2024,3,Spring,94,"Action,Adventure,Animation",PG,1,1,6.3,79640,cinema-hit
Unsung Hero,4/26/2024,2024,4,Spring,113,"Biography,Drama,Family",PG,0,0,7,5743,cinema-hit
The Garfield Movie,5/1/2024,2024,5,Spring,101,"Adventure,Animation,Comedy",PG,0,1,5.7,27300,cinema-hit
IF,5/8/2024,2024,5,Spring,104,"Animation,Comedy,Drama",PG,1,0,6.4,65401,cinema-flop
Inside Out 2,6/12/2024,2024,6,Summer,96,"Adventure,Animation,Comedy",PG,1,1,7.5,245505,cinema-hit
Despicable Me 4,6/20/2024,2024,6,Summer,94,"Adventure,Animation,Comedy",PG,1,1,6.2,76821,cinema-hit
Harold and the Purple Crayon,7/31/2024,2024,7,Summer,90,"Adventure,Animation,Comedy",PG,0,0,5.7,9960,cinema-flop
The Forge,8/23/2024,2024,8,Summer,124,"Drama,Family",PG,1,0,6.8,5875,cinema-hit
Transformers One,9/11/2024,2024,9,Fall/Autumn,104,"Action,Adventure,Animation",PG,0,1,7.6,62961,cinema-flop
The Wild Robot,9/13/2024,2024,9,Fall/Autumn,102,"Adventure,Animation,Family",PG,0,0,8.2,216140,cinema-hit
Wicked,11/20/2024,2024,11,Fall/Autumn,160,"Fantasy,Musical,Romance",PG,0,1,7.3,225598,cinema-hit
Moana 2,11/27/2024,2024,11,Fall/Autumn,100,"Adventure,Animation,Comedy",PG,1,1,6.3,123176,cinema-hit
Mufasa: The Lion King,12/18/2024,2024,12,Winter,118,"Adventure,Animation,Drama",PG,1,1,6.6,81125,cinema-hit
Sonic the Hedgehog 3,12/19/2024,2024,12,Winter,110,"Action,Adventure,Comedy",PG,0,1,6.9,77829,cinema-hit
My Spy,1/10/2020,2020,1,Winter,99,"Action,Comedy",PG-13,1,1,6.4,41298,cinema-flop
The Turning,1/23/2020,2020,1,Winter,94,"Drama,Horror,Mystery",PG-13,0,0,3.9,17451,cinema-flop
Gretel & Hansel,1/30/2020,2020,1,Winter,87,"Fantasy,Horror,Mystery",PG-13,0,0,5.5,38858,cinema-hit
Fantasy Island,2/12/2020,2020,2,Winter,109,"Fantasy,Horror,Mystery",PG-13,0,0,4.9,63497,cinema-hit
The Photograph,2/14/2020,2020,2,Winter,106,"Drama,Romance",PG-13,1,0,6.1,6629,cinema-flop
Monster Hunter,2/18/2020,2020,2,Winter,103,"Action,Adventure,Fantasy",PG-13,0,0,5.2,74527,cinema-flop
Brahms: The Boy II,2/20/2020,2020,2,Winter,86,"Drama,Horror,Mystery",PG-13,1,1,4.7,22407,cinema-flop
Impractical Jokers: The Movie,2/21/2020,2020,2,Winter,92,Comedy,PG-13,0,0,5.7,7717,cinema-hit
The Banker,3/6/2020,2020,3,Spring,120,"Biography,Drama",PG-13,0,0,7.3,42364,cinema-flop
Greenland,7/31/2020,2020,7,Summer,119,"Action,Adventure,Thriller",PG-13,1,0,6.4,164892,cinema-flop
Words on Bathroom Walls,8/21/2020,2020,8,Summer,110,"Drama,Romance",PG-13,0,0,7.2,15530,cinema-flop
Bill & Ted Face the Music,8/23/2020,2020,8,Summer,91,"Adventure,Comedy,Music",PG-13,1,1,5.9,56409,cinema-flop
The New Mutants,8/26/2020,2020,8,Summer,94,"Action,Horror,Mystery",PG-13,0,1,5.3,100572,cinema-flop
Tenet,8/26/2020,2020,8,Summer,150,"Action,Sci-Fi,Thriller",PG-13,1,0,7.3,678934,cinema-flop
Mulan,9/4/2020,2020,9,Fall/Autumn,115,"Action,Adventure,Drama",PG-13,0,0,5.8,167359,cinema-flop
Honest Thief,10/8/2020,2020,10,Fall/Autumn,99,"Action,Crime,Drama",PG-13,1,0,6,63174,cinema-flop
Love and Monsters,10/16/2020,2020,10,Fall/Autumn,109,"Action,Adventure,Comedy",PG-13,1,0,6.9,158382,cinema-flop
Love and Monsters,10/16/2020,2020,10,Fall/Autumn,86,Comedy,PG-13,1,0,4,138,cinema-flop
All My Life,10/23/2020,2020,10,Fall/Autumn,91,"Drama,Romance",PG-13,0,0,6.3,6976,cinema-flop
Come Play,10/29/2020,2020,10,Fall/Autumn,96,"Drama,Horror,Mystery",PG-13,0,0,5.8,20022,cinema-flop
The Midnight Sky,12/9/2020,2020,12,Winter,118,"Adventure,Drama,Sci-Fi",PG-13,0,0,5.7,93957,cinema-flop
