Title,Release date,Year,Month,Season,runTime,Genre,MPAA_Rating,is_original,is_franchise,averageRating,numVotes,performance,distributor,Original,Franchise,combined,commitment_logic,conveninec logic,quadrant
The Kissing Booth 2,7/24/2020,2020,7,Summer,132,Teen romantic comedy,PG-13,0,0,5.7,43374,Streaming-flop,streaming,non-original,non-franchise,new,0.021394524,0.430714286,Scenario 2: Weak Commitment/Convenience
Seriously Single,7/31/2020,2020,7,Summer,107,Comedy,Not Rated,0,0,4.6,1398,Streaming-flop,streaming,non-original,non-franchise,new,0.000558972,0.412443609,Scenario 2: Weak Commitment/Convenience
Raat Akeli Hai,7/31/2020,2020,7,Summer,149,Thriller,Not Rated,0,0,7.2,22543,Streaming-flop,streaming,non-original,non-franchise,new,0.012551546,0.475037594,Scenario 2: Weak Commitment/Convenience
Work It,8/7/2020,2020,8,Summer,93,Dance comedy,PG-13,0,0,6.1,17760,Streaming-flop,streaming,non-original,non-franchise,new,0.006171989,0.595093985,Scenario 3: Strong Convenience
Gunjan Saxena: The Kargil Girl,8/12/2020,2020,8,Summer,112,Biographical drama,Not Rated,0,0,5.6,36226,Streaming-flop,streaming,non-original,non-franchise,new,0.015161342,0.486315789,Scenario 2: Weak Commitment/Convenience
Project Power,8/14/2020,2020,8,Summer,113,Superhero,R,0,0,6,103227,Streaming-flop,streaming,non-original,non-franchise,new,0.043588405,0.517669173,Scenario 4: Hybrid Logic
Fearless,8/14/2020,2020,8,Summer,91,Animation / Superhero,PG,0,0,5,2100,Streaming-flop,streaming,non-original,non-franchise,new,0.000714101,0.493421053,Scenario 2: Weak Commitment/Convenience
Crazy Awesome Teachers,8/17/2020,2020,8,Summer,101,Comedy drama,Not Rated,0,0,6.2,611,Streaming-flop,streaming,non-original,non-franchise,new,0.000230601,0.576879699,Scenario 3: Strong Convenience
The Crimes That Bind,8/20/2020,2020,8,Summer,99,Crime drama,Not Rated,0,0,6.7,4872,Streaming-flop,streaming,non-original,non-franchise,new,0.001802361,0.630958647,Scenario 3: Strong Convenience
The Sleepover,8/21/2020,2020,8,Summer,103,Action comedy,PG-13,0,0,5.7,13288,Streaming-flop,streaming,non-original,non-franchise,new,0.005114416,0.523928571,Scenario 3: Strong Convenience
Class of '83,8/21/2020,2020,8,Summer,98,Crime / Drama,Not Rated,0,0,5.8,6214,Streaming-flop,streaming,non-original,non-franchise,new,0.002275603,0.549473684,Scenario 3: Strong Convenience
Dark Forces,8/21/2020,2020,8,Summer,81,Thriller,Not Rated,0,0,2.8,765,Streaming-flop,streaming,non-original,non-franchise,new,0.00023155,0.292105263,Scenario 2: Weak Commitment/Convenience
All Together Now,8/28/2020,2020,8,Summer,93,Drama,PG,0,0,6.5,5443,Streaming-flop,streaming,non-original,non-franchise,new,0.001891562,0.634116541,Scenario 3: Strong Convenience
Unknown Origins,8/28/2020,2020,8,Summer,96,Thriller,Not Rated,0,0,6.1,8022,Streaming-flop,streaming,non-original,non-franchise,new,0.00287775,0.584774436,Scenario 3: Strong Convenience
"Love, Guaranteed",9/3/2020,2020,9,Fall/Autumn,91,Romantic comedy,PG,0,0,5.6,20295,Streaming-flop,streaming,non-original,non-franchise,new,0.00690128,0.552631579,Scenario 3: Strong Convenience
I'm Thinking of Ending Things,9/4/2020,2020,9,Fall/Autumn,134,Psychological thriller,R,0,0,6.5,109074,Streaming-flop,streaming,non-original,non-franchise,new,0.054616676,0.483834586,Scenario 1: Strong Commitment
The Babysitter: Killer Queen,9/10/2020,2020,9,Fall/Autumn,102,Comedy / Horror,R,0,1,5.8,59268,Streaming-flop,streaming,non-original,franchise,old,0.033885269,0.357593985,Scenario 1: Strong Commitment
Dad Wanted,9/11/2020,2020,9,Fall/Autumn,103,Family,Not Rated,0,0,5.8,1261,Streaming-flop,streaming,non-original,non-franchise,new,0.000485346,0.533120301,Scenario 3: Strong Convenience
The Devil All The Time,9/16/2020,2020,9,Fall/Autumn,138,Psychological thriller,R,0,0,7.1,167814,Streaming-flop,streaming,non-original,non-franchise,new,0.086537931,0.512481203,Scenario 4: Hybrid Logic
The Paramedic,9/16/2020,2020,9,Fall/Autumn,94,Thriller,Not Rated,0,0,5.7,16148,Streaming-flop,streaming,non-original,non-franchise,new,0.005672125,0.552857143,Scenario 3: Strong Convenience
Whipped,9/18/2020,2020,9,Fall/Autumn,97,Romantic comedy,Not Rated,0,0,4.2,702,Streaming-flop,streaming,non-original,non-franchise,new,0.000254453,0.400263158,Scenario 2: Weak Commitment/Convenience
The Boys in the Band,9/30/2020,2020,9,Fall/Autumn,122,Drama,R,0,0,6.8,19396,Streaming-flop,streaming,non-original,non-franchise,new,0.008842422,0.552180451,Scenario 3: Strong Convenience
All Because of You,10/1/2020,2020,10,Fall/Autumn,101,Action comedy,Not Rated,0,0,4.1,297,Streaming-flop,streaming,non-original,non-franchise,new,0.000112093,0.381484962,Scenario 2: Weak Commitment/Convenience
Serious Men,10/2/2020,2020,10,Fall/Autumn,114,Comedy drama,Not Rated,0,0,6.8,8637,Streaming-flop,streaming,non-original,non-franchise,new,0.003679315,0.582857143,Scenario 3: Strong Convenience
The Binding,10/2/2020,2020,10,Fall/Autumn,93,Horror,Not Rated,0,0,4.8,5192,Streaming-flop,streaming,non-original,non-franchise,new,0.001804334,0.468270677,Scenario 2: Weak Commitment/Convenience
Vampires vs. the Bronx,10/2/2020,2020,10,Fall/Autumn,85,Horror comedy,PG-13,0,0,5.7,11946,Streaming-flop,streaming,non-original,non-franchise,new,0.003794379,0.581785714,Scenario 3: Strong Convenience
You've Got This,10/2/2020,2020,10,Fall/Autumn,111,Romantic comedy,Not Rated,0,0,5.9,1574,Streaming-flop,streaming,non-original,non-franchise,new,0.00065287,0.515695489,Scenario 3: Strong Convenience
Hubie Halloween,10/7/2020,2020,10,Fall/Autumn,103,Comedy,PG-13,0,0,5.3,67752,Streaming-flop,streaming,non-original,non-franchise,new,0.026077057,0.487161654,Scenario 2: Weak Commitment/Convenience
Ginny Weds Sunny,10/9/2020,2020,10,Fall/Autumn,125,Romantic comedy,Not Rated,0,0,5.7,6004,Streaming-flop,streaming,non-original,non-franchise,new,0.002804464,0.453214286,Scenario 2: Weak Commitment/Convenience
The Forty-Year-Old Version,10/9/2020,2020,10,Fall/Autumn,124,Comedy drama,R,0,0,7.2,5781,Streaming-flop,streaming,non-original,non-franchise,new,0.002678699,0.576541353,Scenario 3: Strong Convenience
A Babysitter's Guide to Monster Hunting,10/15/2020,2020,10,Fall/Autumn,98,Comedy / Fantasy / Family,PG,0,0,5.4,5377,Streaming-flop,streaming,non-original,non-franchise,new,0.001969089,0.511578947,Scenario 3: Strong Convenience
Love Like the Falling Rain,10/15/2020,2020,10,Fall/Autumn,86,Teen romantic drama,Not Rated,0,0,4.8,250,Streaming-flop,streaming,non-original,non-franchise,new,8.03411E-05,0.487218045,Scenario 2: Weak Commitment/Convenience
The Trial of the Chicago 7,10/16/2020,2020,10,Fall/Autumn,130,Historical legal drama,R,0,0,7.7,204413,Streaming-flop,streaming,non-original,non-franchise,new,0.099300422,0.590526316,Scenario 4: Hybrid Logic
Rebecca,10/21/2020,2020,10,Fall/Autumn,123,Romantic thriller,PG-13,1,1,6.1,50120,Streaming-flop,streaming,original,franchise,old,0.034554663,0.327932331,Scenario 1: Strong Commitment
Cadaver,10/22/2020,2020,10,Fall/Autumn,86,Horror,Not Rated,0,0,5.2,13446,Streaming-flop,streaming,non-original,non-franchise,new,0.004321065,0.527819549,Scenario 3: Strong Convenience
Over the Moon,10/23/2020,2020,10,Fall/Autumn,100,CGI animation musical fantasy,PG,0,0,6.3,26847,Streaming-flop,streaming,non-original,non-franchise,new,0.010032173,0.589736842,Scenario 3: Strong Convenience
Holidate,10/28/2020,2020,10,Fall/Autumn,104,Christmas romantic comedy,Not Rated,0,0,6.2,87585,Streaming-flop,streaming,non-original,non-franchise,new,0.034037864,0.566390977,Scenario 4: Hybrid Logic
Nobody Sleeps in the Woods Tonight,10/28/2020,2020,10,Fall/Autumn,103,Horror,Not Rated,0,0,4.9,15952,Streaming-flop,streaming,non-original,non-franchise,new,0.006139763,0.450394737,Scenario 2: Weak Commitment/Convenience
His House,10/30/2020,2020,10,Fall/Autumn,93,Thriller,NR,0,0,6.4,54202,Streaming-flop,streaming,non-original,non-franchise,new,0.018836382,0.624360902,Scenario 3: Strong Convenience
Kaali Khuhi,10/30/2020,2020,10,Fall/Autumn,90,Horror,Not Rated,0,0,3.7,1521,Streaming-flop,streaming,non-original,non-franchise,new,0.00051153,0.367218045,Scenario 2: Weak Commitment/Convenience
Rogue City,10/30/2020,2020,10,Fall/Autumn,116,Crime,PG-13,0,0,6.1,10719,Streaming-flop,streaming,non-original,non-franchise,new,0.004646345,0.515977444,Scenario 3: Strong Convenience
Operation Christmas Drop,11/5/2020,2020,11,Fall/Autumn,96,Christmas romantic comedy,Not Rated,0,0,5.9,13997,Streaming-flop,streaming,non-original,non-franchise,new,0.005021176,0.565601504,Scenario 3: Strong Convenience
Citation,11/6/2020,2020,11,Fall/Autumn,151,Drama,Not Rated,0,0,6.1,1123,Streaming-flop,streaming,non-original,non-franchise,new,0.000633659,0.395582707,Scenario 2: Weak Commitment/Convenience
What We Wanted,11/11/2020,2020,11,Fall/Autumn,93,Drama,Not Rated,0,0,5.9,2186,Streaming-flop,streaming,non-original,non-franchise,new,0.000759683,0.575582707,Scenario 3: Strong Convenience
Ludo,11/12/2020,2020,11,Fall/Autumn,150,Anthology / Dark comedy,PG-13,0,0,7.6,45974,Streaming-flop,streaming,non-original,non-franchise,new,0.025769309,0.497142857,Scenario 2: Weak Commitment/Convenience
Jingle Jangle: A Christmas Journey,11/13/2020,2020,11,Fall/Autumn,119,Family / Christmas musical,PG,0,0,6.4,22138,Streaming-flop,streaming,non-original,non-franchise,new,0.009844294,0.530526316,Scenario 3: Strong Convenience
The Life Ahead,11/13/2020,2020,11,Fall/Autumn,95,Drama,PG-13,1,1,6.8,16367,Streaming-flop,streaming,original,franchise,old,0.008715317,0.437142857,Scenario 2: Weak Commitment/Convenience
