,Title,Release date,Genre,runTime,distributor,averageRating,numVotes,tconst,MPAA_Rating,is_sequel,is_franchise,is_adaptation,is_remake,budget,revenue,is_original,total_weeks,performance
95,Rogue City,2020-10-30,Crime,116,Streaming,6.1,10719.0,tt10127684,PG-13,0,0,0,0,0,0,original,2.0,Streaming-flop
96,The Day of the Lord,2020-10-30,Horror,93,Streaming,,,,,0,0,0,0,0,0,original,0.0,Streaming-flop
97,Operation Christmas Drop,2020-11-05,Christmas romantic comedy,96,Streaming,5.9,13997.0,tt13236566,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
98,Citation,2020-11-06,Drama,151,Streaming,6.1,1123.0,tt11481312,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
99,What We Wanted,2020-11-11,Drama,93,Streaming,5.9,2186.0,tt13279528,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
100,Ludo,2020-11-12,Anthology / Dark comedy,150,Streaming,7.6,45974.0,tt7212754,PG-13,0,0,0,0,0,0,original,0.0,Streaming-flop
101,Jingle Jangle: A Christmas Journey,2020-11-13,Family / Christmas musical,119,Streaming,6.4,22138.0,tt7736496,PG,0,0,0,0,0,0,original,0.0,Streaming-flop
102,The Life Ahead,2020-11-13,Drama,95,Streaming,6.8,16367.0,tt10627584,PG-13,0,1,0,1,0,0,non-original,0.0,Streaming-flop
103,The Princess Switch: Switched Again,2020-11-19,Christmas romantic comedy,97,Streaming,5.5,15141.0,tt11199410,G,1,1,0,0,10000000,0,non-original,0.0,Streaming-flop
104,Christmas on the Square,2020-11-22,Christmas musical,98,Streaming,5.2,3321.0,tt10627548,PG,0,0,0,0,0,0,original,0.0,Streaming-flop
105,Hillbilly Elegy,2020-11-24,Drama,117,Streaming,6.7,60682.0,tt6772802,R,0,0,0,0,0,0,original,2.0,Streaming-flop
106,Notes for My Son,2020-11-24,Drama,83,Streaming,6.5,1106.0,tt13353486,R,0,0,0,0,0,0,original,0.0,Streaming-flop
107,The Christmas Chronicles: Part Two,2020-11-25,Christmas comedy,115,Streaming,6.0,40778.0,tt11057644,PG,1,1,0,0,0,0,non-original,4.0,Streaming-flop
108,The Beast,2020-11-27,Action thriller,99,Streaming,5.2,5177.0,tt11499506,Not Rated,0,0,0,0,0,0,original,1.0,Streaming-flop
109,The Call,2020-11-27,Psychological thriller,112,Streaming,7.1,52239.0,tt10530176,NR,0,1,0,1,0,0,non-original,1.0,Streaming-flop
110,Finding Agnes,2020-11-30,Drama,105,Streaming,5.0,238.0,tt13328840,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
111,Just Another Christmas,2020-12-03,Christmas comedy,101,Streaming,6.7,6308.0,tt13354204,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
112,Christmas Crossfire,2020-12-04,Christmas thriller,106,Streaming,4.8,1738.0,tt13446424,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
113,Leyla Everlasting,2020-12-04,Comedy,112,Streaming,3.7,8296.0,tt11792734,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
114,Mank,2020-12-04,Biopic,132,Streaming,6.8,103831.0,tt10618286,R,0,0,0,0,25000000,122252,original,0.0,Streaming-flop
115,The Claus Family,2020-12-07,Christmas fantasy,97,Streaming,5.6,3517.0,tt12459520,Not Rated,0,0,0,0,0,0,original,6.0,Streaming-hit
116,Rose Island,2020-12-09,Comedy drama,118,Streaming,7.0,27450.0,tt10287954,Not Rated,0,0,0,0,8000000,0,original,0.0,Streaming-flop
117,The Prom,2020-12-11,Musical,132,Streaming,5.9,30464.0,tt10161886,PG-13,0,0,0,0,0,187432,original,0.0,Streaming-flop
118,A California Christmas,2020-12-14,Christmas romantic comedy,107,Streaming,5.9,12437.0,tt13055780,PG-13,0,0,0,0,0,0,original,0.0,Streaming-flop
119,Ma Rainey's Black Bottom,2020-12-18,Drama,94,Streaming,6.9,77172.0,tt10514222,R,0,0,1,0,0,0,non-original,0.0,Streaming-flop
120,The Midnight Sky,2020-12-23,Science fiction,118,Streaming,5.7,93957.0,tt10539608,PG-13,0,0,0,0,0,70018,original,0.0,Streaming-flop
121,AK vs AK,2020-12-24,Black comedy thriller,109,Streaming,6.9,15785.0,tt11651796,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
122,We Can Be Heroes,2020-12-25,Superhero,100,Streaming,4.7,19374.0,tt10600398,PG,0,0,0,0,0,0,original,0.0,Streaming-flop
123,What Happened to Mr. Cha?,2021-01-01,Comedy,102,Streaming,4.4,423.0,tt13667212,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
124,Pieces of a Woman,2021-01-07,Drama,126,Streaming,,,,,0,0,0,0,0,0,original,0.0,Streaming-flop
125,Stuck Apart,2021-01-08,Drama,96,Streaming,6.0,11847.0,tt11213372,R,0,0,0,0,0,0,original,0.0,Streaming-flop
126,The Heartbreak Club,2021-01-14,Comedy drama,101,Streaming,6.3,243.0,tt11841144,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
127,Double Dad,2021-01-15,Comedy drama,105,Streaming,5.7,1654.0,tt11821818,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
128,Outside the Wire,2021-01-15,Action / science fiction,115,Streaming,5.4,48182.0,tt10451914,R,0,0,0,0,0,0,original,0.0,Streaming-flop
129,Tribhanga – Tedhi Medhi Crazy,2021-01-15,Drama,95,Streaming,,,,,0,0,0,0,0,0,original,0.0,Streaming-flop
130,The White Tiger,2021-01-22,Drama,125,Streaming,7.1,69488.0,tt6571548,R,0,0,0,0,0,0,original,0.0,Streaming-flop
131,June & Kopi,2021-01-28,Drama,90,Streaming,,,,,0,0,0,0,0,0,original,0.0,Streaming-flop
132,Finding ʻOhana,2021-01-29,Family,123,Streaming,,,,,0,0,0,0,0,0,original,0.0,Streaming-flop
133,The Dig,2021-01-29,Drama,112,Streaming,7.1,88903.0,tt3661210,PG-13,0,0,0,0,0,0,original,0.0,Streaming-flop
134,Below Zero,2021-01-29,Drama,106,Streaming,6.2,22830.0,tt9845564,R,0,0,0,0,0,0,original,0.0,Streaming-flop
135,The Last Paradiso,2021-02-05,Romantic drama,107,Streaming,,,,,0,0,0,0,0,0,original,0.0,Streaming-flop
