,Title,Release date,Year,Month,Season,runTime,Genre,MPAA_Rating,is_original,is_franchise,averageRating,numVotes,total_weeks,performance
119,Ma Rainey's Black Bottom,12/18/2020,2020,12,Winter,94,Drama,R,1,0,6.9,77172,0,Streaming-flop
120,The Midnight Sky,12/23/2020,2020,12,Winter,118,Science fiction,PG-13,0,0,5.7,93957,0,Streaming-flop
121,AK vs AK,12/24/2020,2020,12,Winter,109,Black comedy thriller,Not Rated,0,0,6.9,15785,0,Streaming-flop
122,We Can Be Heroes,12/25/2020,2020,12,Winter,100,Superhero,PG,0,0,4.7,19374,0,Streaming-flop
123,What Happened to Mr. Cha?,1/1/2021,2021,1,Winter,102,Comedy,NR,0,0,4.4,423,0,Streaming-flop
124,Pieces of a Woman,1/7/2021,2021,1,Winter,126,Drama,,0,0,,,0,Streaming-flop
125,Stuck Apart,1/8/2021,2021,1,Winter,96,Drama,R,0,0,6,11847,0,Streaming-flop
126,The Heartbreak Club,1/14/2021,2021,1,Winter,101,Comedy drama,NR,0,0,6.3,243,0,Streaming-flop
127,Double Dad,1/15/2021,2021,1,Winter,105,Comedy drama,NR,0,0,5.7,1654,0,Streaming-flop
128,Outside the Wire,1/15/2021,2021,1,Winter,115,Action / science fiction,R,0,0,5.4,48182,0,Streaming-flop
129,Tribhanga – Tedhi Medhi Crazy,1/15/2021,2021,1,Winter,95,Drama,,0,0,,,0,Streaming-flop
130,The White Tiger,1/22/2021,2021,1,Winter,125,Drama,R,0,0,7.1,69488,0,Streaming-flop
131,June & Kopi,1/28/2021,2021,1,Winter,90,Drama,,0,0,,,0,Streaming-flop
132,Finding ʻOhana,1/29/2021,2021,1,Winter,123,Family,,0,0,,,0,Streaming-flop
133,The Dig,1/29/2021,2021,1,Winter,112,Drama,PG-13,0,0,7.1,88903,0,Streaming-flop
134,Below Zero,1/29/2021,2021,1,Winter,106,Drama,R,0,0,6.2,22830,0,Streaming-flop
135,The Last Paradiso,2/5/2021,2021,2,Winter,107,Romantic drama,,0,0,,,0,Streaming-flop
136,Malcolm & Marie,2/5/2021,2021,2,Winter,106,Romantic drama,R,0,0,6.6,43258,0,Streaming-flop
137,Space Sweepers,2/5/2021,2021,2,Winter,136,Science fiction,R,0,0,6.5,30938,0,Streaming-flop
138,The Misadventures of Hedi and Cokeman,2/10/2021,2021,2,Winter,99,Comedy,NR,0,0,4.5,838,0,Streaming-flop
139,Red Dot,2/11/2021,2021,2,Winter,86,Thriller,NR,0,0,5.5,15814,0,Streaming-flop
140,Squared Love,2/11/2021,2021,2,Winter,102,Romantic comedy,NR,0,0,5.1,4073,0,Streaming-flop
141,To All the Boys: Always and Forever,2/12/2021,2021,2,Winter,115,Romantic comedy,PG-13,0,0,6.3,39005,0,Streaming-flop
142,Geez & Ann,2/25/2021,2021,2,Winter,105,Romantic drama,PG,0,0,5.2,367,0,Streaming-flop
143,Crazy About Her,2/26/2021,2021,2,Winter,102,Romantic comedy,Not Rated,0,0,6.6,6906,0,Streaming-flop
144,The Girl on the Train,2/26/2021,2021,2,Winter,120,Thriller,Not Rated,1,1,4,15344,0,Streaming-flop
145,Moxie,3/3/2021,2021,3,Spring,111,Drama,PG-13,0,0,6.7,30503,0,Streaming-flop
146,Sentinelle,3/5/2021,2021,3,Spring,80,Action,NR,0,0,4.8,9164,0,Streaming-flop
147,Yes Day,3/12/2021,2021,3,Spring,89,Comedy,PG,0,0,5.7,34559,0,Streaming-flop
148,Paper Lives,3/12/2021,2021,3,Spring,97,Drama,NR,0,0,6.6,14922,0,Streaming-flop
149,Get the Goat,3/18/2021,2021,3,Spring,98,Comedy,NR,0,0,6,2174,0,Streaming-flop
150,Caught by a Wave,3/25/2021,2021,3,Spring,99,Romantic teen drama,NR,0,0,5.8,1685,0,Streaming-flop
151,A Week Away,3/26/2021,2021,3,Spring,97,Christian musical,NR,0,0,5.8,5990,0,Streaming-flop
152,Bad Trip,3/26/2021,2021,3,Spring,86,Hidden-camera prank comedy,R,0,0,6.5,28930,0,Streaming-flop
153,Pagglait,3/26/2021,2021,3,Spring,114,Comedy drama,NR,0,0,6.9,11949,0,Streaming-flop
154,Tersanjung the Movie,4/1/2021,2021,4,Spring,114,Drama,,0,0,,,0,Streaming-flop
155,Concrete Cowboy,4/2/2021,2021,4,Spring,111,Drama,,0,0,,,0,Streaming-flop
156,Just Say Yes,4/2/2021,2021,4,Spring,97,Romantic comedy,NR,0,0,4.6,2247,0,Streaming-flop
157,Madame Claude,4/2/2021,2021,4,Spring,112,Drama,NR,0,0,5.5,4420,0,Streaming-flop
158,Have You Ever Seen Fireflies?,4/9/2021,2021,4,Spring,114,Comedy,NR,0,0,6.2,5991,0,Streaming-flop
159,Night in Paradise,4/9/2021,2021,4,Spring,132,Drama,,0,0,,,0,Streaming-flop
160,Thunder Force,4/9/2021,2021,4,Spring,107,Superhero comedy,PG-13,0,0,4.6,48257,0,Streaming-flop
161,Prime Time,4/14/2021,2021,4,Spring,92,Thriller,R,0,0,5.2,2083,1,Streaming-flop
162,Ride or Die,4/15/2021,2021,4,Spring,142,Psychological thriller drama,R,0,0,5.6,3001,0,Streaming-flop
163,Ajeeb Daastaans,4/16/2021,2021,4,Spring,142,Drama,NR,0,0,6.7,7187,0,Streaming-flop
164,Get the Grift,4/28/2021,2021,4,Spring,95,Comedy,NR,0,0,5.4,932,0,Streaming-flop
165,Things Heard & Seen,4/29/2021,2021,4,Spring,121,Horror,NR,0,0,5.3,40218,0,Streaming-flop
166,The Disciple,4/30/2021,2021,4,Spring,128,Drama,,0,0,,,0,Streaming-flop
167,Milestone,5/7/2021,2021,5,Spring,97,Drama,,0,0,,,0,Streaming-flop
168,Monster,5/7/2021,2021,5,Spring,99,Drama,,0,0,,,2,Streaming-flop
169,Oxygen,5/12/2021,2021,5,Spring,101,Science fiction thriller,Not Rated,0,0,6.5,47900,0,Streaming-flop
170,Ferry,5/14/2021,2021,5,Spring,107,Crime drama,R,0,0,7,15130,1,Streaming-flop
171,I Am All Girls,5/14/2021,2021,5,Spring,107,Thriller,NR,0,0,6,7906,0,Streaming-flop
172,The Woman in the Window,5/14/2021,2021,5,Spring,101,Psychological thriller,R,0,0,5.7,89605,0,Streaming-flop
173,Sardar Ka Grandson,5/18/2021,2021,5,Spring,139,Comedy,NR,0,0,4.3,5505,0,Streaming-flop
174,Army of the Dead,5/21/2021,2021,5,Spring,148,Zombie/heist,R,0,0,5.8,199954,3,Streaming-flop
175,Baggio: The Divine Ponytail,5/26/2021,2021,5,Spring,92,Biopic,NR,0,0,6.1,5646,0,Streaming-flop
176,Ghost Lab,5/26/2021,2021,5,Spring,117,Horror,NR,0,0,5.2,1837,0,Streaming-flop
177,Blue Miracle,5/27/2021,2021,5,Spring,96,Drama,NR,0,0,6.6,8691,0,Streaming-flop
178,Carnaval,6/2/2021,2021,6,Summer,95,Comedy,NR,0,0,4.2,1120,0,Streaming-flop
179,Dancing Queens,6/3/2021,2021,6,Summer,111,Drama,NR,0,0,5.8,2361,0,Streaming-flop
180,Sweet & Sour,6/4/2021,2021,6,Summer,102,Romantic drama,NR,0,0,6.6,4000,0,Streaming-flop
181,Trippin' with the Kandasamys,6/4/2021,2021,6,Summer,93,Comedy,NR,0,0,5.3,479,0,Streaming-flop
182,Xtreme,6/4/2021,2021,6,Summer,112,Action,NR,0,0,5.8,5578,5,Streaming-hit
183,Awake,6/9/2021,2021,6,Summer,97,Science fiction thriller,R,0,0,4.9,28697,0,Streaming-flop
184,Tragic Jungle,6/9/2021,2021,6,Summer,96,Drama,,0,0,,,0,Streaming-flop
185,Skater Girl,6/11/2021,2021,6,Summer,109,Coming-of-age sports drama,PG,0,0,6.7,8272,0,Streaming-flop
186,Ali & Ratu Ratu Queens,6/17/2021,2021,6,Summer,100,Comedy drama,,0,0,,,0,Streaming-flop
187,Jagame Thandhiram,6/18/2021,2021,6,Summer,158,Action thriller,Not Rated,0,0,5.8,13058,0,Streaming-flop
188,Good on Paper,6/23/2021,2021,6,Summer,94,Comedy,R,0,0,5.6,15082,1,Streaming-flop
189,America: The Motion Picture,6/30/2021,2021,6,Summer,98,Animation / comedy / historical fiction,R,0,0,5.6,8001,0,Streaming-flop
190,Fear Street Part 1: 1994,7/2/2021,2021,7,Summer,107,Teen horror / slasher,,0,0,,,5,Streaming-hit
191,The 8th Night,7/2/2021,2021,7,Summer,115,Thriller film,Not Rated,0,0,5.4,5292,3,Streaming-flop
192,Haseen Dillruba,7/2/2021,2021,7,Summer,135,Romantic thriller,R,0,0,6.9,34939,4,Streaming-hit
193,Fear Street Part 2: 1978,7/9/2021,2021,7,Summer,110,Teen horror / slasher,,0,0,,,4,Streaming-hit
194,Last Summer,7/9/2021,2021,7,Summer,101,Romantic drama,Not Rated,0,0,6.2,4209,2,Streaming-flop
