Title,Release date,Year,Month,Season,runTime,Genre,MPAA_Rating,is_original,is_franchise,averageRating,numVotes,performance,Original,Franchise
The Beast,11/27/2020,2020,11,Fall/Autumn,99,Action thriller,Not Rated,0,0,5.2,5177,Streaming-flop,Non-Original,Non-Francise
The Call,11/27/2020,2020,11,Fall/Autumn,112,Psychological thriller,NR,1,1,7.1,52239,Streaming-flop,Original,Francise
Finding Agnes,11/30/2020,2020,11,Fall/Autumn,105,Drama,Not Rated,0,0,5,238,Streaming-flop,Non-Original,Non-Francise
Just Another Christmas,12/3/2020,2020,12,Winter,101,Christmas comedy,Not Rated,0,0,6.7,6308,Streaming-flop,Non-Original,Non-Francise
Christmas Crossfire,12/4/2020,2020,12,Winter,106,Christmas thriller,Not Rated,0,0,4.8,1738,Streaming-flop,Non-Original,Non-Francise
Leyla Everlasting,12/4/2020,2020,12,Winter,112,Comedy,Not Rated,0,0,3.7,8296,Streaming-flop,Non-Original,Non-Francise
Mank,12/4/2020,2020,12,Winter,132,Biopic,R,0,0,6.8,103831,Streaming-flop,Non-Original,Non-Francise
The Claus Family,12/7/2020,2020,12,Winter,97,Christmas fantasy,Not Rated,0,0,5.6,3517,Streaming-hit,Non-Original,Non-Francise
Rose Island,12/9/2020,2020,12,Winter,118,Comedy drama,Not Rated,0,0,7,27450,Streaming-flop,Non-Original,Non-Francise
The Prom,12/11/2020,2020,12,Winter,132,Musical,PG-13,0,0,5.9,30464,Streaming-flop,Non-Original,Non-Francise
A California Christmas,12/14/2020,2020,12,Winter,107,Christmas romantic comedy,PG-13,0,0,5.9,12437,Streaming-flop,Non-Original,Non-Francise
Ma Rainey's Black Bottom,12/18/2020,2020,12,Winter,94,Drama,R,1,0,6.9,77172,Streaming-flop,Original,Non-Francise
The Midnight Sky,12/23/2020,2020,12,Winter,118,Science fiction,PG-13,0,0,5.7,93957,Streaming-flop,Non-Original,Non-Francise
AK vs AK,12/24/2020,2020,12,Winter,109,Black comedy thriller,Not Rated,0,0,6.9,15785,Streaming-flop,Non-Original,Non-Francise
We Can Be Heroes,12/25/2020,2020,12,Winter,100,Superhero,PG,0,0,4.7,19374,Streaming-flop,Non-Original,Non-Francise
What Happened to Mr. Cha?,1/1/2021,2021,1,Winter,102,Comedy,NR,0,0,4.4,423,Streaming-flop,Non-Original,Non-Francise
Stuck Apart,1/8/2021,2021,1,Winter,96,Drama,R,0,0,6,11847,Streaming-flop,Non-Original,Non-Francise
The Heartbreak Club,1/14/2021,2021,1,Winter,101,Comedy drama,NR,0,0,6.3,243,Streaming-flop,Non-Original,Non-Francise
Double Dad,1/15/2021,2021,1,Winter,105,Comedy drama,NR,0,0,5.7,1654,Streaming-flop,Non-Original,Non-Francise
Outside the Wire,1/15/2021,2021,1,Winter,115,Action / science fiction,R,0,0,5.4,48182,Streaming-flop,Non-Original,Non-Francise
The White Tiger,1/22/2021,2021,1,Winter,125,Drama,R,0,0,7.1,69488,Streaming-flop,Non-Original,Non-Francise
The Dig,1/29/2021,2021,1,Winter,112,Drama,PG-13,0,0,7.1,88903,Streaming-flop,Non-Original,Non-Francise
Below Zero,1/29/2021,2021,1,Winter,106,Drama,R,0,0,6.2,22830,Streaming-flop,Non-Original,Non-Francise
Malcolm & Marie,2/5/2021,2021,2,Winter,106,Romantic drama,R,0,0,6.6,43258,Streaming-flop,Non-Original,Non-Francise
Space Sweepers,2/5/2021,2021,2,Winter,136,Science fiction,R,0,0,6.5,30938,Streaming-flop,Non-Original,Non-Francise
The Misadventures of Hedi and Cokeman,2/10/2021,2021,2,Winter,99,Comedy,NR,0,0,4.5,838,Streaming-flop,Non-Original,Non-Francise
Red Dot,2/11/2021,2021,2,Winter,86,Thriller,NR,0,0,5.5,15814,Streaming-flop,Non-Original,Non-Francise
Squared Love,2/11/2021,2021,2,Winter,102,Romantic comedy,NR,0,0,5.1,4073,Streaming-flop,Non-Original,Non-Francise
To All the Boys: Always and Forever,2/12/2021,2021,2,Winter,115,Romantic comedy,PG-13,0,0,6.3,39005,Streaming-flop,Non-Original,Non-Francise
Geez & Ann,2/25/2021,2021,2,Winter,105,Romantic drama,PG,0,0,5.2,367,Streaming-flop,Non-Original,Non-Francise
Crazy About Her,2/26/2021,2021,2,Winter,102,Romantic comedy,Not Rated,0,0,6.6,6906,Streaming-flop,Non-Original,Non-Francise
The Girl on the Train,2/26/2021,2021,2,Winter,120,Thriller,Not Rated,1,1,4,15344,Streaming-flop,Original,Francise
Moxie,3/3/2021,2021,3,Spring,111,Drama,PG-13,0,0,6.7,30503,Streaming-flop,Non-Original,Non-Francise
Sentinelle,3/5/2021,2021,3,Spring,80,Action,NR,0,0,4.8,9164,Streaming-flop,Non-Original,Non-Francise
Yes Day,3/12/2021,2021,3,Spring,89,Comedy,PG,0,0,5.7,34559,Streaming-flop,Non-Original,Non-Francise
Paper Lives,3/12/2021,2021,3,Spring,97,Drama,NR,0,0,6.6,14922,Streaming-flop,Non-Original,Non-Francise
Get the Goat,3/18/2021,2021,3,Spring,98,Comedy,NR,0,0,6,2174,Streaming-flop,Non-Original,Non-Francise
Caught by a Wave,3/25/2021,2021,3,Spring,99,Romantic teen drama,NR,0,0,5.8,1685,Streaming-flop,Non-Original,Non-Francise
A Week Away,3/26/2021,2021,3,Spring,97,Christian musical,NR,0,0,5.8,5990,Streaming-flop,Non-Original,Non-Francise
Bad Trip,3/26/2021,2021,3,Spring,86,Hidden-camera prank comedy,R,0,0,6.5,28930,Streaming-flop,Non-Original,Non-Francise
Pagglait,3/26/2021,2021,3,Spring,114,Comedy drama,NR,0,0,6.9,11949,Streaming-flop,Non-Original,Non-Francise
Just Say Yes,4/2/2021,2021,4,Spring,97,Romantic comedy,NR,0,0,4.6,2247,Streaming-flop,Non-Original,Non-Francise
Madame Claude,4/2/2021,2021,4,Spring,112,Drama,NR,0,0,5.5,4420,Streaming-flop,Non-Original,Non-Francise
Have You Ever Seen Fireflies?,4/9/2021,2021,4,Spring,114,Comedy,NR,0,0,6.2,5991,Streaming-flop,Non-Original,Non-Francise
Thunder Force,4/9/2021,2021,4,Spring,107,Superhero comedy,PG-13,0,0,4.6,48257,Streaming-flop,Non-Original,Non-Francise
Prime Time,4/14/2021,2021,4,Spring,92,Thriller,R,0,0,5.2,2083,Streaming-flop,Non-Original,Non-Francise
Ride or Die,4/15/2021,2021,4,Spring,142,Psychological thriller drama,R,0,0,5.6,3001,Streaming-flop,Non-Original,Non-Francise
Ajeeb Daastaans,4/16/2021,2021,4,Spring,142,Drama,NR,0,0,6.7,7187,Streaming-flop,Non-Original,Non-Francise
Get the Grift,4/28/2021,2021,4,Spring,95,Comedy,NR,0,0,5.4,932,Streaming-flop,Non-Original,Non-Francise
Things Heard & Seen,4/29/2021,2021,4,Spring,121,Horror,NR,0,0,5.3,40218,Streaming-flop,Non-Original,Non-Francise
Oxygen,5/12/2021,2021,5,Spring,101,Science fiction thriller,Not Rated,0,0,6.5,47900,Streaming-flop,Non-Original,Non-Francise
Ferry,5/14/2021,2021,5,Spring,107,Crime drama,R,0,0,7,15130,Streaming-flop,Non-Original,Non-Francise
I Am All Girls,5/14/2021,2021,5,Spring,107,Thriller,NR,0,0,6,7906,Streaming-flop,Non-Original,Non-Francise
The Woman in the Window,5/14/2021,2021,5,Spring,101,Psychological thriller,R,0,0,5.7,89605,Streaming-flop,Non-Original,Non-Francise
Sardar Ka Grandson,5/18/2021,2021,5,Spring,139,Comedy,NR,0,0,4.3,5505,Streaming-flop,Non-Original,Non-Francise
Army of the Dead,5/21/2021,2021,5,Spring,148,Zombie/heist,R,0,0,5.8,199954,Streaming-flop,Non-Original,Non-Francise
Baggio: The Divine Ponytail,5/26/2021,2021,5,Spring,92,Biopic,NR,0,0,6.1,5646,Streaming-flop,Non-Original,Non-Francise
Ghost Lab,5/26/2021,2021,5,Spring,117,Horror,NR,0,0,5.2,1837,Streaming-flop,Non-Original,Non-Francise
Blue Miracle,5/27/2021,2021,5,Spring,96,Drama,NR,0,0,6.6,8691,Streaming-flop,Non-Original,Non-Francise
Carnaval,6/2/2021,2021,6,Summer,95,Comedy,NR,0,0,4.2,1120,Streaming-flop,Non-Original,Non-Francise
Dancing Queens,6/3/2021,2021,6,Summer,111,Drama,NR,0,0,5.8,2361,Streaming-flop,Non-Original,Non-Francise
Sweet & Sour,6/4/2021,2021,6,Summer,102,Romantic drama,NR,0,0,6.6,4000,Streaming-flop,Non-Original,Non-Francise
Trippin' with the Kandasamys,6/4/2021,2021,6,Summer,93,Comedy,NR,0,0,5.3,479,Streaming-flop,Non-Original,Non-Francise
Xtreme,6/4/2021,2021,6,Summer,112,Action,NR,0,0,5.8,5578,Streaming-hit,Non-Original,Non-Francise
Awake,6/9/2021,2021,6,Summer,97,Science fiction thriller,R,0,0,4.9,28697,Streaming-flop,Non-Original,Non-Francise
Skater Girl,6/11/2021,2021,6,Summer,109,Coming-of-age sports drama,PG,0,0,6.7,8272,Streaming-flop,Non-Original,Non-Francise
Jagame Thandhiram,6/18/2021,2021,6,Summer,158,Action thriller,Not Rated,0,0,5.8,13058,Streaming-flop,Non-Original,Non-Francise
Good on Paper,6/23/2021,2021,6,Summer,94,Comedy,R,0,0,5.6,15082,Streaming-flop,Non-Original,Non-Francise
America: The Motion Picture,6/30/2021,2021,6,Summer,98,Animation / comedy / historical fiction,R,0,0,5.6,8001,Streaming-flop,Non-Original,Non-Francise
